SCE_001,How does our economic system model our society ?
SCE_063,"This means that <b><color=#FFD400>means of production</color></b> can be owned by one or multiple *people*, who decide - among other things - what is produced, and the way the benefits are distributed."
SCE_064,"In our example, our owner determines the activity and the profits distribution of the restaurant - without necessarily working in it - and they hire someone to produce its commodities."
SCE_065,"We arrive at the end of our journey, we only have to study the redistribution of the value of our commodities onnce sold. To achieve this, we introduce our owner and a resell space."
SCE_066,"By placing a commodity, it is ivided in an amount of coins equal to its exchange value."
SCE_067,"Then, the coins are redistributed between the material (tools, ingredients), the worker, et the owner of the <b><color=#FFD400>means of production</color></b>."
SCE_068,"For our next example, follow the instructions of our owner."
SCE_069,"And <i>voilà</i>! The punch has been divided in 33 coins! They have 3 different colors to differenciate them. Press the button below the stock to redistribute these coins, according to their color."
SCE_070,"The first ones, green, are used to repay the purchase of raw materials and the tools maintenance. This distribution is necessary to acquire and maintain the <b><color=#FFD400>means of production</color></b>!"
SCE_071,Press the button again to distribute the next coins.
SCE_072,"These ones, yellow, pay the salary of the worker: the maintenance of the <b><color=#FFD400>workforce</color></b> employed."
SCE_073,"This distribution stays indispensable, without it, the worker cannot satisfy their needs and regenerate their <b><color=#FFD400>workforce</color></b> the following days."
SCE_074,Press the button one last time to distribute the last coins.
SCE_075,"These coins, which come from the <b><color=#3DB39E>surplus value</color></b> created by the <b><color=#FFD400>workforce</color></b> of the worker, go to our owner."
SCE_076,"They represent the profit made by the creation of the commodity, and it is solely the owner who decides *what to do with it*."
SCE_077,"This is the reason why the owners use someone else's <b><color=#FFD400>workforce</color></b>, it is the only commodity capable of generating profit. This allows them to live exclusively from retrieving that profit."
SCE_078,"<b><color=#3DB39E>private property</color></b> creates two categories of people, those who own the *means of production*, and those who don't."
SCE_079,"The first category has to put the second one to work in its <b><color=#FFD400>means of production</color></b>, and can live off of the profit generated by the <b><color=#3DB39E>surplus value</color></b> of its <b><color=#FFD400>workforce</color></b>. This social class is the <b><color=#3DB39E>bourgeoisie</color></b>."
SCE_080,The second category must necessarily sell its <b><color=#FFD400>workforce</color></b> to the first one to live. This social class is the <b><color=#FFD400>proletariat</color></b>.
SCE_081,"These two classes depend on one another, but have *opposing interests*."
SCE_082,"On one hand, the <b><color=#3DB39E>bourgeoisie</color></b> has an interest in increasing the <b><color=#3DB39E>surplus value</color></b> it reaps, on the other, the <b><color=#FFD400>proletariat</color></b> has an interest in keeping as much value from their work as possible. This is the birth of *class struggle*."
SCE_083,"This unbalanced struggle is inherent to <b><color=#3DB39E>private property</color></b>, as it de facto creates two social classes with incompatible interests."
SCE_084,"If the origin of that antagonism is <b><color=#3DB39E>private property</color></b>, is an alternative conceivable ?"
SCE_085,"In a system where people would not be able to privately own the <b><color=#FFD400>moyens de production</color></b> anymore, this ownership could be split betweenthe people working there. <b>This is collective property</b>."
SCE_086,This is the central point of the project of 19th century socialists: the collectivisation of the <b><color=#FFD400>means of production</color></b> to make class struggle between the <b><color=#3DB39E>bourgeoisie</color></b> and the <b><color=#FFD400>proletariat</color></b> obsolete.
SCE_087,But how is the <b><color=#3DB39E>bourgeoisie</color></b> winning that class struggle ? How does it always extract more and more <b><color=#3DB39E>surplus value</color></b> from the work of the <b><color=#FFD400>proletariat</color></b> ? This is what we will see next time.
SCE_088,"If you wish, you can continue to experiment different recipes, don't forget that the <b><color=#FFD400>force de travail</color></b> is necessary to produce a commodity!"
SCE_089,"By clicking the top left button, you can sitch from the production screen to the market screen to fill your stock back up, and vice versa."
SCE_090,
AST_005,Beware! The exchange value does not necessarily correspond to its price!
AST_010,"This work load can represent the assembly, construction, but also the harvest of commodities."
AST_048,"The value of a commodity is determined by the work necessary to its production, the value of the <b><color=#FFD400>workforce</color></b>is determined by what is necessary to recreate it (food, rest, recreation)."
AST_051,"The equivalence of exchange demands to spend the amount of the exchange value (X). Using it transfers its exchange value (X), and and added value (Y) to the product. This Y is a net gain."
AST_052,The <b><color=#3DB39E>surplus value</color></b> is born of the difference between the value of the maintenance of the <b><color=#FFD400>workforce</color></b>and the value of what it produces in a day. We'll see how it varies next time.
AST_063,"These people only very rarely work in these means of production. They usually bought it, created it or inherited it."
AST_076,"Invest it, keep it, pay rent with it, etc."
AST_078,"Reminder: the <b><color=#FFD400>means of production</color></b> are comprised of all the non human resources necessary to production, here, the restaurant, tools, raw material."
AST_081,"This is strictly a question of interest in a production system. <b>Morale has nothing to do with it</b>, we are not describing a 'good side' or a 'bad side', but the social relationships of domination."
AST_082,"Between the <b><color=#3DB39E>bourgeoisie</color></b>and the <b><color=#FFD400>proletariat</color></b>. Other class struggles have traversed history: the nobility, clergy, peasantry, etc."
UI_PROD,Produce
UI_EXCHANGE,Exchange
UI_USEVAL,Use value:
UI_EXCHVAL,Exchange value:
UI_XMPLVAL,Exchange value: 1
UI_USENB,Uses amount
UI_OF,of
UI_FROM,from
UI_USE,use
COMNAME_000,Surplus value
COMNAME_001,Workforce
COMDESC_001,Transforms commodities. Creates value.
COMNAME_010,Knife
COMDESC_010,Cuts ingredients.
COMNAME_011,Blender
COMDESC_011,Mixes ignredients together.
COMNAME_012,Oven
COMDESC_012,Cooks ingredients.
COMNAME_100,Apple
COMDESC_100,Edible. Sweet.
COMNAME_101,Apple pie
COMDESC_101,Edible. Sweet.
COMNAME_102,Apple plate
COMDESC_102,Edible. Sweet.
COMNAME_103,Apple slice
COMDESC_103,Edible. Sweet.
COMNAME_104,Baked apple
COMDESC_104,Edible. Sweet.
COMNAME_110,Coin
COMDESC_110,Can only be exchanged for other commodities.
COMNAME_111,2 coin
COMDESC_111,Can only be exchanged for other commodities.
COMNAME_112,5 coin
COMDESC_112,Can only be exchanged for other commodities.
COMNAME_113,10 coin
COMDESC_113,Can only be exchanged for other commodities.
COMNAME_114,20 coin
COMDESC_114,Can only be exchanged for other commodities.
COMNAME_115,50 coin
COMDESC_115,Can only be exchanged for other commodities.
COMNAME_116,Pièce
COMDESC_116,Can only be exchanged for other commodities.
COMNAME_120,Orange
COMDESC_120,Edible. Sweet.
COMNAME_121,Orange slice
COMDESC_121,Edible. Sweet.
COMNAME_130,Pear
COMDESC_130,Edible. Sweet.
COMNAME_140,Pineapple
COMDESC_140,Edible. Sweet.
COMNAME_141,Pineapple slice
COMDESC_141,Edible. Sweet.
COMNAME_150,Punch
COMDESC_150,Drinkable. Sweet. Alcoholic. Flammable.
COMNAME_160,Rum
COMDESC_160,Drinkable. Alcoholic. Flammable.
COMNAME_170,Smoothie
COMDESC_170,Drinkable. Sweet. Refreshing.
COMNAME_171,Fruit juice
COMDESC_171,Edible. Sweet. Refreshing.
COMNAME_172,Cocktail
COMDESC_172,Edible. Sweet. Alcoholic. Flammable
COMNAME_180,Watermelon
COMDESC_180,Edible. Sweet.
COMNAME_181,Watermelon slice
COMDESC_181,Edible. Sweet.
COMNAME_190,Sugar
COMDESC_190,Edible. Sweet.
COMNAME_200,Jam
COMDESC_200,Edible. Sweet.
COMNAME_210,Fruit salad
COMDESC_210,Edible. Sweet.
COMNAME_220,Flour
COMDESC_220,Edible. Sweet.
COMNAME_221,bread
COMDESC_221,Edible. Sweet.
COMNAME_222,Bread slice
COMDESC_222,Edible. Sweet.
COMNAME_230,Bread and jam
COMDESC_230,Edible. Sweet.
RECIPE_001,Fruit slice
RECIPE_002,Fruit juice
RECIPE_003,Cocktail
RECIPE_004,Punch
RECIPE_005,Fruit salad
RECIPE_006,Smoothie
RECIPE_007,Bread
RECIPE_008,Bread slice
RECIPE_009,Toast
RECIPE_010,Jam
RECIPE_011,Baked apple
RECIPE_012,Fruit salad
DYN_001,Hello! I'm the one who is going to cook.
DYN_002,Here's my workforce for the day!
DYN_003,That I know! Combine these ingredients:
DYN_004,"1 <size=150%><sprite=1><size=100%>, 1 <size=150%><sprite=4><size=100%>, 1 <size=150%><sprite=5><size=100%>, 1 <size=150%><sprite=12><size=100%> & 1 <size=150%><sprite=3><size=100%>"
DYN_005,Nice job!
DYN_006,Hello!
DYN_007,Is everything fine in my restaurant?
DYN_008,New mission!
DYN_009,Prepare some punch!
DYN_010,"Alright, here's the recipe:"
DYN_011,"1 <size=150%><sprite=10><size=100%>, 1 <size=150%><sprite=14><size=100%>,  1 <size=150%><sprite=15><size=100%>, 1 <size=150%><sprite=17><size=100%>,  1 <size=150%><sprite=7><size=100%> & 1 <size=150%><sprite=3><size=100%>"
DYN_012,Phew! Good job!
DYN_013,Perfect! 
DYN_014,Now we're going to sell it!
DYN_015,"Without the means of production, no work!"
DYN_016,We do need the equipment.
DYN_017,We must take care of it.
DYN_018,"I have to rest, eat..."
DYN_019,"Thanks to that, tomorrow I'll still be able to work."
DYN_020,We must take care of you.
DYN_021,We must take care of it.
DYN_022,Hey! This value comes from my work!
DYN_023,The restaurant is mine.
DYN_024,"If I don't profit, what's the point?"
